Kanji,Kanji_Meaning,Reading_Used,Word,Word_Reading,English_Meaning,Reading_Type,Position_in_Deck
板,"plank, board",ばん,掲示板,けいじばん,"notice board, bulletin board",on,1472
皿,"dish, a helping",さら,皿,さら,"plate, counter for plates or servings",kun,1482
皿,"dish, a helping",irregular,灰皿,はいざら,ashtray,irregular,1597
容,"contain, form",よう,内容,ないよう,contents,on,1485
容,"contain, form",よう,美容院,びよういん,hair salon,on,1507
折,"fold, break",お,折れる,おれる,"snap/break, be folded, give in (to)",kun,1489
折,"fold, break",お,折る,おる,"break off, fold, bend",kun,1490
再,"again, twice",さ,再来年,さらいねん,the year after next,on,1495
再,"again, twice",さ,再来月,さらいげつ,the month after next,on,1496
再,"again, twice",さ,再来週,さらいしゅう,the week after next,on,1497
再,"again, twice",ふたた,再び,ふたたび,"again, a second time (somewhat formal)",kun,1494
許,"permit, approve",きょ,免許証,めんきょしょう,license,on,1514
許,"permit, approve",ゆる,許す,ゆるす,"forgive, permit",kun,1512
鳴,"chirp, cry",な,鳴る,なる,"sound, ring, thunder",kun,1520
鳴,"chirp, cry",な,鳴く,なく,"make sound (animal); chirp, meow, etc.",kun,1521
刺,"thorn, pierce",し,刺身,さしみ,"sashimi, sliced raw meat",on,1530
刺,"thorn, pierce",さ,刺す,さす,"stab, prick, sting",kun,1529
倒,"overthrow, fall",たお,倒れる,たおれる,"fall down, succumb (to)",kun,1534
倒,"overthrow, fall",たお,倒す,たおす,"knock down, overthrow, defeat",kun,1535
柔,"tender, weakness",じゅう,柔道,じゅうどう,judo,on,1538
柔,"tender, weakness",やわ,柔らかい,やわらかい,soft,kun,1539
柔,"tender, weakness",やわ,柔らか,やわらか,"soft, tender, gentle",kun,1540
張,"lengthen, counter for bows & stringed instruments",ちょう,主張,しゅちょう,"argument, case, one's point",on,1541
張,"lengthen, counter for bows & stringed instruments",ば,頑張る,がんばる,"persist, be tenacious",kun,1675
張,"lengthen, counter for bows & stringed instruments",irregular,引っ張る,ひっぱる,"pull, drag",irregular,1542
突,"stab, protruding",つ,突き当たる,つきあたる,"come to the end of (street), run into (st)",kun,1543
突,"stab, protruding",つ,突き当たり,つきあたり,end of a street,kun,1544
丸,"round, full (month)",まる,丸い,まるい,round,kun,1547
丸,"round, full (month)",まる,丸,まる,"circle, wholeness",kun,1548
勢,"forces, energy",ぜい,大勢,おおぜい,"many (people), a crowd",on,1556
勢,"forces, energy",せい,姿勢,しせい,"posture, attitude",on,1558
姿,"figure, form",し,姿勢,しせい,"posture, attitude",on,1558
姿,"figure, form",すがた,姿,すがた,"figure, appearance",kun,1557
棚,"shelf, ledge",たな,棚,たな,"shelf, rack",kun,1568
棚,"shelf, ledge",だな,本棚,ほんだな,bookshelf,kun,1569
釣,"angling, fish",つ,釣る,つる,"to fish, to catch (a fish)",kun,1571
釣,"angling, fish",つ,お釣り,おつり,change,kun,1573
沸,"seethe, boil",わ,沸く,わく,"boil, be excited",kun,1579
沸,"seethe, boil",わ,沸かす,わかす,"boil, excite",kun,1580
濯,"laundry, wash",たく,洗濯機,せんたくき,washing machine,on,1582
濯,"laundry, wash",たく,洗濯,せんたく,"laundering, washing",on,1583
炊,"cook, boil",すい,自炊,じすい,cooking for oneself,on,1596
炊,"cook, boil",た,炊く,たく,cook (by boiling),kun,1595
灰,"ashes, puckery juice",はい,灰皿,はいざら,ashtray,kun,1597
灰,"ashes, puckery juice",はい,灰,はい,ashes,kun,1598
灰,"ashes, puckery juice",はい,灰色,はいいろ,"ash color, gray",kun,1599
豚,"pork, pig",ぶた,豚,ぶた,"pig, pork",kun,1611
豚,"pork, pig",ぶた,豚肉,ぶたにく,"pork, hog meat",kun,1612
筆,"writing brush, writing",ひつ,万年筆,まんねんひつ,fountain pen,on,1622
筆,"writing brush, writing",irregular,鉛筆,えんぴつ,pencil,irregular,1621
箱,"box, chest",はこ,箱,はこ,"box, case",kun,1624
箱,"box, chest",irregular,本箱,ほんばこ,bookcase,irregular,1625
布,"linen, cloth",ふ,財布,さいふ,"purse, wallet",on,1629
布,"linen, cloth",ふ,毛布,もうふ,blanket,on,1630
布,"linen, cloth",ふ,布団,ふとん,"futon, bedquilt",on,1631
包,"wrap, pack up",つつ,包む,つつむ,"wrap, pack",kun,1634
包,"wrap, pack up",irregular,小包,こづつみ,"parcel, package",irregular,1632
帳,"notebook, account book",ちょう,手帳,てちょう,"pocketbook, memo",on,1636
帳,"notebook, account book",ちょう,電話帳,でんわちょう,telephone book,on,1637
眠,"sleep, die",ねむ,眠い,ねむい,sleepy,kun,1642
眠,"sleep, die",ねむ,眠る,ねむる,sleep,kun,1644
掃,"sweep, brush",そう,掃除,そうじ,cleaning,on,1651
掃,"sweep, brush",そう,掃除機,そうじき,vacuum cleaner,on,1654
掃,"sweep, brush",は,掃く,はく,"sweep, brush",kun,1652
握,"grip, hold",あく,握手,あくしゅ,"handshake, handshaking",on,1656
握,"grip, hold",にぎ,握る,にぎる,"grasp, to press into shape (onigiri, sushi)",kun,1655
我,"ego, i",が,怪我,けが,injury,on,1668
我,"ego, i",が,我慢,がまん,"patience, self-restraint",on,1669
頃,"time, about",ころ,頃,ころ,"when~, about~, time",kun,1676
頃,"time, about",ごろ,この頃,このごろ,"these days, recently",kun,1678
缶,"tin can, container",かん,缶詰,かんづめ,canned goods,on,1681
缶,"tin can, container",かん,缶,かん,"can, tin",on,1683
腐,"rot, decay",ふ,豆腐,とうふ,tofu,on,1685
腐,"rot, decay",くさ,腐る,くさる,"rot, corrode",kun,1684
床,"bed, counter for beds",ゆか,床,ゆか,floor,kun,1686
床,"bed, counter for beds",とこ,床屋,とこや,"barber, barbershop",kun,1687
畳,"tatami mat, counter for tatami mats",たたみ,畳,たたみ,"tatami, mat",kun,1688
畳,"tatami mat, counter for tatami mats",たた,畳む,たたむ,"fold up, shut (umbrella)",kun,1689
敬,"awe, respect",けい,敬語,けいご,"honorific language, polite speech",on,1694
敬,"awe, respect",けい,尊敬,そんけい,"respect, honor",on,1695
踊,"jump, dance",おど,踊る,おどる,dance,kun,1702
踊,"jump, dance",おど,踊り,おどり,"dance, dancing",kun,1703
踏,"step, trample",ふ,踏む,ふむ,"step on, tread on",kun,1704
踏,"step, trample",ふ,踏切,ふみきり,railroad crossing,kun,1705
祖,"ancestor, pioneer",そ,祖父,そふ,grandfather,on,1717
祖,"ancestor, pioneer",そ,祖母,そぼ,grandmother,on,1718
祖,"ancestor, pioneer",irregular,お祖父さん,おじいさん,grandfather,irregular,1714
祖,"ancestor, pioneer",irregular,お祖母さん,おばあさん,grandmother,irregular,1715
呂,"spine, backbone",ろ,風呂屋,ふろや,"bathhouse, public bath",on,1721
呂,"spine, backbone",ろ,風呂,ふろ,bath,on,1722
靴,shoes,くつ,靴,くつ,"shoes, boots",kun,1743
靴,shoes,くつ,靴下,くつした,"socks, stockings",kun,1744
磨,"grind, polish",みが,磨く,みがく,"polish, grind",kun,1745
磨,"grind, polish",みが,歯磨き,はみがき,"toothpaste, brushing one's teeth",kun,1746
袖,"sleeve, wing (building)",そで,袖,そで,sleeve,kun,1751
袖,"sleeve, wing (building)",そで,長袖,ながそで,clothes with long sleeves,kun,1752
袖,"sleeve, wing (building)",そで,半袖,はんそで,short-sleeved shirt,kun,1753
含,"contain, include",ふく,含める,ふくめる,include,kun,1778
含,"contain, include",ふく,含む,ふくむ,"contain, include",kun,1779
