Position,Word_Kanji,Reading_Kana,English_Meaning,Part_of_Speech,Deck_Step_Label,Frequency_Rank
317,辺,へん,"vicinity, part",Noun,Core 2000 Step 02 - 102,4715
318,黄色い,きいろい,yellow,Adjective,Core 2000 Step 02 - 056,3156
319,一緒に,いっしょに,"together, at the same time",Adverb,Core 2000 Step 01 - 177,1265
320,緑,みどり,"green, foliage",Noun,Core 2000 Step 01 - 198,1814
321,易しい,やさしい,"easy, simple",Adjective,Core 2000 Step 02 - 101,30266
322,留学生,りゅうがくせい,student studying abroad,Noun,Core 2000 Step 02 - 016,18155
323,戻る,もどる,"return, turn back",Verb,Core 2000 Step 01 - 068,249
324,そば,そば,"side, vicinity",Noun,Core 2000 Step 02 - 088,540
325,起きる,おきる,"get up, get out of bed",Verb,Core 2000 Step 01 - 058,634
326,起こる,おこる,happen,Verb,Core 2000 Step 01 - 094,770
327,起こす,おこす,wake up (someone),Verb,Core 2000 Step 01 - 121,960
328,起きる,おきる,occur,Verb,Core 2000 Step 02 - 022,634
329,寝る,ねる,"sleep, go to sleep",Verb,Core 2000 Step 01 - 189,543
330,細い,ほそい,"thin, slender, narrow",Adjective,Core 2000 Step 02 - 116,1124
331,載せる,のせる,"place, put on",Verb,Core 2000 Step 02 - 024,3547
332,締める,しめる,"tighten, fasten",Verb,Core 2000 Step 02 - 078,5311
333,甘い,あまい,sweet,Adjective,Core 2000 Step 02 - 029,1544
334,こっち,こっち,here,Pronoun,Core 2000 Step 02 - 089,506
335,辛い,からい,"spicy, salty",Adjective,Core 2000 Step 02 - 105,2085
336,優しい,やさしい,"gentle, kind",Adjective,Core 2000 Step 02 - 058,1326
337,夫,おっと,husband,Noun,Core 2000 Step 01 - 113,487
338,妻,つま,wife,Noun,Core 2000 Step 02 - 161,420
339,誰,だれ,"who, whom",Noun,Core 2000 Step 01 - 137,174
340,愛する,あいする,"love, care for",Verb,Core 2000 Step 02 - 026,2817
341,笑う,わらう,"laugh, smile",Verb,Core 2000 Step 01 - 164,185
342,酸っぱい,すっぱい,sour,Adjective,Core 2000 Step 02 - 114,20802
343,言葉,ことば,"word, language",Noun,Core 2000 Step 01 - 050,143
344,よう,よう,"way, like, kind [the state of something]",Noun,Core 2000 Step 02 - 103,25
345,呼ぶ,よぶ,"call, name",Verb,Core 2000 Step 01 - 074,231
346,胸,むね,chest,Noun,Core 2000 Step 01 - 145,272
347,腰,こし,"hip, lower back",Noun,Core 2000 Step 02 - 011,395
348,背,せ,"height, stature",Noun,Core 2000 Step 02 - 019,623
349,片仮名,かたかな,katakana,Noun,Core 2000 Step 02 - 071,34512
350,平仮名,ひらがな,hiragana,Noun,Core 2000 Step 02 - 080,41512
351,悲しい,かなしい,sad,Adjective,Core 2000 Step 02 - 025,1677
352,美しい,うつくしい,beautiful,Adjective,Core 2000 Step 01 - 118,526
353,授業,じゅぎょう,"class, lesson",Verbal Noun,Core 2000 Step 01 - 166,3138
354,あそこ,あそこ,over there,Pronoun,Core 2000 Step 02 - 108,1268
355,手伝う,てつだう,"help, assist",Verb,Core 2000 Step 02 - 020,2370
356,狭い,せまい,"narrow, restricted",Adjective,Core 2000 Step 01 - 157,1475
357,触る,さわる,"touch, feel",Verb,Core 2000 Step 02 - 082,3510
358,嫌い,きらい,dislike,Adjective,Core 2000 Step 02 - 052,2018
359,浴びる,あびる,take a shower,Verb,Core 2000 Step 01 - 186,2346
360,渇く,かわく,become thirsty,Verb,Core 2000 Step 02 - 091,10341
361,髪の毛,かみのけ,hair,Noun,Core 2000 Step 02 - 067,3024
362,肩,かた,shoulder,Noun,Core 2000 Step 01 - 187,346
363,鼻,はな,nose,Noun,Core 2000 Step 02 - 021,811
364,おいしい,おいしい,tasty,Adjective,Core 2000 Step 02 - 135,2716
365,腕,うで,arm,Noun,Core 2000 Step 01 - 199,343
366,掛ける,かける,"hang, put on",Verb,Core 2000 Step 02 - 047,1704
367,僕,ぼく,I (young male),Noun,Core 2000 Step 02 - 176,139
368,だめ,だめ,no good,Adjectival Noun,Core 2000 Step 02 - 083,1021
